Date,Day_LST_mean,Night_LST_mean,LST_mean
2015-04-23,26.71727410648573,18.91764729871477,22.913964091472547
2015-04-24,26.02823043206866,17.549004921396943,22.168756155562775
2015-04-25,25.6062834899784,17.982211330222015,21.780048650967867
2015-04-26,28.80111466190986,18.477507675129914,23.64070854288694
2015-04-27,26.411968170918605,,
2015-04-28,29.96841063711469,16.844347426277753,23.40637903169624
2015-04-29,27.09619441016832,15.929917600579808,21.575562405643588
2015-04-30,30.76092317893788,16.707587111791028,23.734371338344076
2015-05-01,30.78875255215264,16.382467545072295,23.52933909619057
2015-05-02,28.55334484171537,17.982670286599117,23.179409322997437
2015-05-03,28.846599131828846,18.42804585141755,23.680776146302723
2015-05-04,24.562640226352,17.13857307962192,21.26410312372118
2015-05-05,29.52433543587228,18.50289884746224,23.90040913254541
2015-05-06,,17.323952022077762,
2015-05-07,30.49661503463034,18.39179509302781,24.380361502890928
2015-05-08,22.36896630115635,11.624567307436244,16.510035263966518
2015-05-09,26.67284911998004,16.322021594688533,21.449312075612728
2015-05-10,27.91895169784469,16.920526393804693,22.504967568542277
2015-05-11,27.024783008221988,16.507181173675107,21.54977633806768
2015-05-12,27.73490938415287,17.824552077253035,22.62630274163793
2015-05-13,23.8476671823808,,
2015-05-14,30.175603744191797,15.933101994868046,23.034461171055426
2015-05-15,29.923807244639704,15.602345293684301,22.861734531238504
2015-05-16,25.84106925217301,15.511157761512393,20.575334727331985
2015-05-17,27.811847628531098,16.761616744283074,22.258378366796098
2015-05-18,25.26718532283302,16.452553632334265,21.08413293244369
2015-05-19,27.656942800656065,16.60481717427711,22.166356754614966
2015-05-20,25.60412196288019,16.09431190331559,20.823637632474508
2015-05-21,27.63456783530745,16.57463981514323,22.131374018588595
2015-05-22,,16.041886601766222,
2015-05-23,27.58998739651614,16.52756588734651,22.086036563924598
2015-05-24,26.21703931416977,15.89076607999619,21.054387128588115
2015-05-25,26.941180008094108,16.303117278641327,21.56455150744607
2015-05-26,28.259630671831818,15.998337920238564,22.128371794098832
2015-05-27,26.110763389838475,14.187101894459566,19.91416844394743
2015-05-28,28.269131532132857,17.128275832265036,22.796968815382865
2015-05-29,21.22452991452995,,
2015-05-30,27.76617941544577,17.230222273722063,22.688959644536638
2015-05-31,24.266794117647105,15.344313843196126,20.58017681728884
2015-06-01,29.28388531633385,16.010739812341903,22.68417859657278
2015-06-02,26.609289280182974,16.540402119943835,21.83061339690175
2015-06-03,27.007054642975515,15.646505179707058,21.295456197652875
2015-06-04,29.437739310610333,14.99457067855077,22.22205751933021
2015-06-05,27.064564273141624,16.68507037156067,21.932113389902725
2015-06-06,24.862552866998243,15.558811041719638,20.18259368147115
2015-06-07,,12.733151567079865,
2015-06-08,26.789866966113653,13.000112586248756,19.873088645743557
2015-06-09,25.562862848710104,14.17524634441423,20.287352656306815
2015-06-10,23.623403314165174,15.084686243751237,19.566401945177468
2015-06-11,24.06700138718703,14.40871779364147,18.981668490044985
2015-06-12,23.949702242190536,14.107407225951224,19.238151422142813
2015-06-13,26.143707179273378,14.595742218478522,20.41218313347814
2015-06-14,20.39454934801155,,
2015-06-15,25.316270437816737,13.894163521152883,19.67326913874961
2015-06-16,25.65030617937762,11.748531101677349,19.127019913392875
2015-06-17,27.210762711210563,13.672112631914487,20.44152080466784
2015-06-18,29.262313294778398,14.485367187568283,21.88090742355152
2015-06-19,25.380178077599616,13.022544705231784,19.194887574760898
2015-06-20,22.48220326307153,8.876830230606034,14.776233752253859
2015-06-21,20.57000000000005,5.911369466171583,
2015-06-22,23.96511596889454,15.93624953020288,20.235813216849895
2015-06-23,,11.353634904597687,
2015-06-24,28.08673673606606,16.97139701350068,22.554984191274887
2015-06-25,27.59585955076219,16.250056079202224,21.90728474562578
2015-06-26,27.75885303557906,16.868001070700153,21.846404306001705
2015-06-27,24.949257212054345,13.086326133468363,19.23380798756078
2015-06-28,25.280075085902975,13.095735438592465,19.248787023490706
